,gender,age,household_income,degree,school_degree,parking_strategy,survey_income_interval,income_group
94,1.0,56.0,2362.0,4.0,3.0,5.0,5.0,1
95,1.0,24.0,2296.0,4.0,5.0,3.0,4.0,1
96,2.0,49.0,4634.0,4.0,5.0,4.0,6.0,1
97,1.0,18.0,722.0,1.0,5.0,7.0,3.0,0
98,1.0,20.0,5809.0,1.0,5.0,4.0,7.0,1
99,1.0,29.0,445.0,3.0,5.0,5.0,1.0,0
100,1.0,64.0,3651.0,4.0,3.0,5.0,6.0,1
101,2.0,71.0,2927.0,7.0,4.0,3.0,5.0,1
102,2.0,53.0,5088.0,4.0,4.0,3.0,6.0,1
103,2.0,71.0,7720.0,4.0,3.0,4.0,7.0,2
104,2.0,34.0,4075.0,5.0,4.0,5.0,5.0,1
105,2.0,72.0,3355.0,4.0,3.0,4.0,6.0,1
106,2.0,65.0,4587.0,4.0,3.0,3.0,6.0,1
107,1.0,63.0,3273.0,7.0,5.0,3.0,6.0,1
108,1.0,46.0,1618.0,4.0,4.0,3.0,4.0,0
109,2.0,59.0,6425.0,9.0,5.0,4.0,7.0,2
110,1.0,66.0,2626.0,4.0,3.0,3.0,5.0,1
111,2.0,36.0,7355.0,10.0,5.0,3.0,7.0,2
112,2.0,75.0,4938.0,10.0,5.0,7.0,6.0,1
113,2.0,80.0,2481.0,3.0,3.0,5.0,5.0,1
114,1.0,33.0,5898.0,8.0,5.0,3.0,7.0,1
115,2.0,70.0,3752.0,4.0,4.0,5.0,5.0,1
116,1.0,39.0,11083.0,9.0,5.0,7.0,7.0,2
117,2.0,21.0,3762.0,5.0,4.0,3.0,6.0,1
118,1.0,42.0,8096.0,10.0,5.0,3.0,7.0,2
119,2.0,55.0,3709.0,7.0,4.0,7.0,6.0,1
120,1.0,32.0,4204.0,5.0,5.0,3.0,6.0,1
121,2.0,57.0,4054.0,4.0,4.0,4.0,6.0,1
122,1.0,57.0,5435.0,10.0,5.0,4.0,7.0,1
123,1.0,56.0,4506.0,4.0,5.0,3.0,6.0,1
124,2.0,46.0,3238.0,6.0,4.0,4.0,5.0,1
125,1.0,56.0,3820.0,4.0,3.0,7.0,6.0,1
126,2.0,56.0,815.0,5.0,3.0,5.0,3.0,0
127,2.0,28.0,3986.0,10.0,5.0,7.0,5.0,1
128,2.0,31.0,4247.0,3.0,5.0,7.0,6.0,1
129,1.0,50.0,2839.0,4.0,4.0,4.0,5.0,1
130,2.0,24.0,4673.0,1.0,5.0,5.0,6.0,1
131,1.0,75.0,4053.0,4.0,3.0,5.0,5.0,1
132,1.0,72.0,1913.0,4.0,4.0,3.0,4.0,0
133,1.0,19.0,2759.0,3.0,1.0,5.0,5.0,1
134,1.0,62.0,4672.0,7.0,4.0,5.0,6.0,1
135,1.0,35.0,3978.0,10.0,5.0,5.0,6.0,1
136,2.0,44.0,3569.0,4.0,5.0,7.0,6.0,1
137,1.0,80.0,4707.0,4.0,1.0,3.0,6.0,1
138,1.0,57.0,4848.0,3.0,5.0,3.0,6.0,1
139,1.0,56.0,4179.0,4.0,3.0,7.0,5.0,1
140,1.0,79.0,9536.0,4.0,3.0,4.0,7.0,2
141,1.0,69.0,3207.0,4.0,4.0,3.0,5.0,1
142,2.0,62.0,2678.0,4.0,3.0,5.0,5.0,1
143,2.0,62.0,14158.0,10.0,5.0,5.0,7.0,2
144,1.0,38.0,13346.0,11.0,5.0,7.0,7.0,2
145,2.0,22.0,3570.0,4.0,5.0,4.0,6.0,1
146,2.0,71.0,1615.0,12.0,3.0,3.0,4.0,0
147,2.0,52.0,8859.0,10.0,5.0,4.0,7.0,2
148,1.0,30.0,3570.0,4.0,5.0,4.0,6.0,1
149,2.0,53.0,6063.0,10.0,5.0,4.0,7.0,2
150,1.0,64.0,3104.0,4.0,3.0,7.0,4.0,1
151,1.0,49.0,7207.0,9.0,5.0,3.0,7.0,2
152,1.0,65.0,2141.0,4.0,3.0,3.0,4.0,0
153,1.0,30.0,5108.0,10.0,5.0,5.0,6.0,1
154,2.0,24.0,1623.0,1.0,5.0,3.0,4.0,0
155,1.0,29.0,5748.0,8.0,5.0,5.0,7.0,1
156,2.0,60.0,14309.0,11.0,5.0,4.0,7.0,2
157,2.0,26.0,4261.0,8.0,5.0,4.0,6.0,1
158,2.0,67.0,3073.0,7.0,5.0,4.0,5.0,1
159,2.0,69.0,712.0,4.0,4.0,4.0,3.0,0
160,2.0,51.0,3907.0,8.0,4.0,5.0,6.0,1
161,1.0,54.0,3196.0,10.0,5.0,4.0,5.0,1
162,1.0,42.0,4216.0,7.0,4.0,4.0,6.0,1
163,2.0,26.0,8519.0,10.0,5.0,4.0,7.0,2
164,1.0,28.0,7279.0,7.0,5.0,4.0,7.0,2
165,1.0,57.0,8052.0,9.0,5.0,5.0,7.0,2
166,1.0,36.0,1091.0,3.0,4.0,3.0,2.0,0
167,2.0,72.0,3223.0,4.0,3.0,4.0,5.0,1
168,2.0,51.0,3725.0,10.0,5.0,7.0,6.0,1
169,1.0,21.0,1688.0,1.0,5.0,3.0,4.0,0
170,2.0,33.0,3665.0,9.0,5.0,5.0,6.0,1
171,1.0,76.0,812.0,7.0,4.0,5.0,3.0,0
172,1.0,43.0,1862.0,4.0,4.0,3.0,4.0,0
173,2.0,57.0,807.0,4.0,4.0,3.0,3.0,0
174,1.0,44.0,6139.0,9.0,5.0,7.0,7.0,2
175,2.0,62.0,2283.0,4.0,3.0,5.0,4.0,1
176,2.0,22.0,3240.0,4.0,4.0,3.0,5.0,1
177,1.0,50.0,6227.0,4.0,3.0,3.0,7.0,2
178,2.0,44.0,3469.0,4.0,5.0,7.0,6.0,1
179,1.0,56.0,833.0,4.0,6.0,3.0,3.0,0
180,2.0,74.0,2019.0,4.0,3.0,3.0,4.0,0
181,2.0,48.0,4212.0,4.0,5.0,7.0,6.0,1
182,1.0,49.0,4028.0,4.0,4.0,3.0,6.0,1
183,1.0,51.0,1963.0,10.0,5.0,4.0,4.0,0
184,1.0,51.0,11958.0,8.0,5.0,7.0,7.0,2
185,1.0,20.0,5002.0,1.0,5.0,3.0,6.0,1
186,2.0,18.0,3864.0,4.0,5.0,3.0,6.0,1
187,2.0,69.0,4481.0,9.0,5.0,4.0,6.0,1
188,1.0,29.0,3758.0,10.0,5.0,5.0,6.0,1
189,1.0,31.0,3223.0,7.0,5.0,3.0,5.0,1
190,2.0,48.0,2348.0,6.0,4.0,4.0,5.0,1
191,2.0,41.0,2028.0,3.0,5.0,7.0,4.0,0
192,2.0,62.0,2161.0,3.0,3.0,3.0,4.0,0
193,1.0,51.0,5774.0,9.0,5.0,3.0,7.0,1
194,2.0,51.0,4315.0,4.0,5.0,7.0,6.0,1
195,2.0,79.0,4744.0,3.0,3.0,3.0,6.0,1
196,2.0,77.0,2101.0,4.0,3.0,3.0,4.0,0
197,1.0,29.0,2696.0,11.0,5.0,4.0,5.0,1
198,2.0,77.0,970.0,4.0,1.0,7.0,3.0,0
199,2.0,28.0,3481.0,10.0,5.0,3.0,5.0,1
200,1.0,29.0,2597.0,10.0,5.0,3.0,5.0,1
201,1.0,69.0,4943.0,4.0,3.0,5.0,6.0,1
202,2.0,59.0,2763.0,4.0,4.0,4.0,5.0,1
203,2.0,67.0,1784.0,10.0,5.0,3.0,4.0,0
204,1.0,57.0,538.0,4.0,4.0,4.0,3.0,0
205,2.0,45.0,1714.0,4.0,4.0,7.0,3.0,0
206,1.0,55.0,3732.0,3.0,5.0,4.0,6.0,1
207,1.0,37.0,2520.0,5.0,5.0,3.0,5.0,1
208,1.0,51.0,4943.0,10.0,5.0,7.0,6.0,1
209,1.0,19.0,5484.0,1.0,5.0,4.0,7.0,1
210,1.0,26.0,6288.0,9.0,5.0,7.0,7.0,2
211,2.0,74.0,1652.0,12.0,3.0,7.0,4.0,0
212,1.0,59.0,4958.0,3.0,5.0,3.0,6.0,1
213,2.0,27.0,4093.0,10.0,5.0,4.0,5.0,1
214,2.0,69.0,2265.0,6.0,5.0,5.0,3.0,1
215,2.0,81.0,3257.0,5.0,3.0,5.0,6.0,1
216,2.0,64.0,3011.0,10.0,5.0,5.0,5.0,1
217,2.0,72.0,2797.0,4.0,3.0,4.0,5.0,1
218,1.0,42.0,4300.0,9.0,5.0,4.0,6.0,1
219,1.0,49.0,9116.0,4.0,4.0,3.0,7.0,2
220,1.0,54.0,3508.0,9.0,5.0,5.0,6.0,1
221,1.0,42.0,7384.0,10.0,5.0,5.0,7.0,2
222,2.0,69.0,2745.0,7.0,4.0,4.0,5.0,1
223,2.0,60.0,14466.0,11.0,5.0,4.0,7.0,2
224,1.0,23.0,2357.0,4.0,5.0,3.0,4.0,1
225,2.0,46.0,5790.0,5.0,5.0,3.0,7.0,1
226,1.0,43.0,4986.0,8.0,4.0,4.0,6.0,1
227,2.0,32.0,1698.0,5.0,5.0,3.0,4.0,0
228,1.0,47.0,10999.0,11.0,5.0,3.0,7.0,2
229,2.0,28.0,3451.0,10.0,5.0,4.0,6.0,1
230,1.0,36.0,2585.0,11.0,5.0,3.0,5.0,1
231,1.0,30.0,1499.0,4.0,5.0,3.0,4.0,0
232,1.0,31.0,4702.0,4.0,5.0,4.0,6.0,1
233,1.0,68.0,657.0,5.0,3.0,7.0,3.0,0
234,2.0,59.0,1388.0,4.0,4.0,4.0,4.0,0
235,2.0,30.0,2521.0,10.0,5.0,5.0,5.0,1
236,2.0,76.0,3074.0,4.0,3.0,3.0,5.0,1
237,2.0,78.0,2695.0,7.0,5.0,3.0,5.0,1
238,2.0,47.0,3133.0,4.0,4.0,3.0,5.0,1
239,1.0,54.0,5070.0,4.0,4.0,4.0,6.0,1
240,2.0,71.0,6292.0,10.0,5.0,4.0,7.0,2
241,2.0,68.0,1889.0,4.0,3.0,4.0,4.0,0
242,2.0,63.0,4071.0,4.0,5.0,7.0,6.0,1
243,1.0,76.0,1909.0,4.0,3.0,4.0,4.0,0
244,2.0,29.0,4341.0,9.0,5.0,4.0,6.0,1
245,1.0,54.0,2536.0,4.0,3.0,4.0,5.0,1
246,1.0,49.0,5112.0,4.0,4.0,3.0,6.0,1
247,1.0,50.0,1644.0,4.0,1.0,5.0,4.0,0
248,1.0,75.0,3118.0,7.0,4.0,7.0,4.0,1
249,2.0,43.0,3990.0,9.0,5.0,3.0,6.0,1
250,2.0,33.0,3000.0,5.0,4.0,3.0,5.0,1
251,2.0,45.0,6742.0,10.0,5.0,5.0,7.0,2
252,2.0,46.0,4926.0,4.0,4.0,7.0,6.0,1
253,1.0,68.0,4980.0,4.0,3.0,4.0,6.0,1
254,1.0,37.0,6122.0,9.0,5.0,7.0,7.0,2
255,2.0,46.0,1520.0,12.0,5.0,4.0,4.0,0
256,2.0,49.0,4658.0,4.0,5.0,4.0,6.0,1
257,1.0,30.0,3443.0,4.0,4.0,4.0,6.0,1
258,1.0,33.0,5625.0,8.0,5.0,4.0,7.0,1
259,1.0,80.0,3706.0,4.0,3.0,7.0,5.0,1
260,1.0,62.0,1481.0,4.0,3.0,4.0,4.0,0
261,2.0,67.0,1443.0,4.0,4.0,4.0,4.0,0
262,1.0,35.0,433.0,5.0,4.0,7.0,2.0,0
263,1.0,57.0,5899.0,4.0,3.0,3.0,7.0,1
264,1.0,53.0,3320.0,3.0,5.0,4.0,6.0,1
265,2.0,32.0,8848.0,10.0,5.0,3.0,7.0,2
266,2.0,65.0,3228.0,7.0,5.0,4.0,5.0,1
267,2.0,34.0,3944.0,8.0,5.0,7.0,6.0,1
268,2.0,51.0,845.0,5.0,5.0,3.0,3.0,0
269,2.0,46.0,3502.0,4.0,5.0,5.0,6.0,1
270,1.0,20.0,4571.0,3.0,5.0,3.0,7.0,1
271,2.0,51.0,5448.0,9.0,5.0,3.0,7.0,1
272,1.0,51.0,2675.0,9.0,5.0,7.0,5.0,1
273,2.0,56.0,4866.0,4.0,4.0,5.0,7.0,1
274,2.0,59.0,2201.0,4.0,3.0,7.0,4.0,0
275,2.0,31.0,9973.0,7.0,5.0,3.0,7.0,2
276,1.0,47.0,7232.0,9.0,5.0,3.0,7.0,2
277,1.0,29.0,5321.0,8.0,4.0,3.0,7.0,1
278,2.0,73.0,4226.0,9.0,5.0,4.0,6.0,1
279,1.0,38.0,8747.0,11.0,5.0,3.0,7.0,2
280,2.0,45.0,3723.0,5.0,5.0,7.0,5.0,1
281,2.0,60.0,13649.0,11.0,5.0,4.0,7.0,2
282,2.0,34.0,4603.0,7.0,5.0,4.0,6.0,1
283,1.0,56.0,846.0,4.0,4.0,7.0,2.0,0
284,2.0,70.0,3034.0,4.0,3.0,4.0,5.0,1
285,1.0,65.0,2078.0,4.0,3.0,4.0,4.0,0
286,1.0,51.0,11831.0,8.0,5.0,7.0,7.0,2
287,2.0,60.0,2892.0,10.0,5.0,4.0,5.0,1
288,1.0,73.0,4662.0,10.0,5.0,4.0,6.0,1
289,1.0,34.0,3255.0,10.0,5.0,5.0,6.0,1
290,1.0,27.0,2441.0,10.0,5.0,5.0,5.0,1
291,2.0,51.0,1989.0,7.0,5.0,4.0,4.0,0
292,1.0,33.0,12050.0,10.0,5.0,4.0,7.0,2
293,2.0,65.0,3209.0,4.0,3.0,3.0,4.0,1
294,1.0,57.0,4655.0,4.0,3.0,5.0,6.0,1
295,1.0,73.0,2009.0,4.0,3.0,3.0,4.0,0
296,2.0,33.0,1488.0,8.0,5.0,3.0,4.0,0
297,2.0,41.0,4634.0,9.0,5.0,3.0,7.0,1
298,2.0,54.0,7694.0,4.0,4.0,7.0,7.0,2
299,2.0,52.0,5907.0,3.0,5.0,4.0,7.0,1
300,1.0,46.0,7191.0,9.0,5.0,7.0,7.0,2
301,1.0,62.0,5496.0,9.0,5.0,5.0,7.0,1
302,1.0,80.0,3688.0,4.0,3.0,7.0,5.0,1
303,1.0,25.0,2717.0,10.0,5.0,7.0,4.0,1
304,2.0,46.0,2750.0,4.0,4.0,3.0,5.0,1
305,2.0,67.0,2581.0,4.0,4.0,3.0,4.0,1
306,1.0,43.0,2123.0,4.0,4.0,3.0,4.0,0
307,1.0,75.0,2221.0,0.0,3.0,3.0,3.0,1
308,1.0,33.0,4511.0,4.0,5.0,4.0,6.0,1
309,1.0,56.0,1022.0,4.0,4.0,7.0,2.0,0
310,2.0,53.0,5481.0,10.0,5.0,4.0,7.0,1
311,1.0,70.0,1906.0,4.0,3.0,5.0,4.0,0
312,2.0,48.0,2016.0,7.0,4.0,5.0,4.0,0
313,2.0,67.0,1834.0,7.0,4.0,3.0,4.0,0
314,2.0,51.0,4817.0,4.0,4.0,4.0,6.0,1
315,2.0,70.0,3014.0,5.0,5.0,7.0,5.0,1
316,2.0,64.0,3095.0,9.0,5.0,3.0,5.0,1
317,1.0,35.0,4361.0,11.0,5.0,3.0,6.0,1
318,1.0,38.0,6267.0,9.0,5.0,3.0,7.0,2
319,1.0,56.0,3726.0,7.0,4.0,3.0,6.0,1
320,1.0,63.0,2782.0,7.0,3.0,4.0,5.0,1
321,2.0,42.0,2122.0,4.0,4.0,3.0,4.0,0
322,1.0,54.0,1849.0,4.0,3.0,3.0,3.0,0
323,2.0,63.0,3149.0,9.0,5.0,3.0,5.0,1
324,2.0,59.0,3034.0,7.0,5.0,3.0,5.0,1
325,2.0,62.0,3719.0,3.0,3.0,5.0,5.0,1
326,2.0,45.0,4020.0,5.0,5.0,7.0,6.0,1
327,1.0,30.0,3690.0,10.0,5.0,3.0,6.0,1
328,1.0,64.0,2624.0,4.0,3.0,5.0,5.0,1
329,2.0,64.0,2710.0,4.0,3.0,5.0,5.0,1
330,1.0,53.0,2731.0,4.0,3.0,3.0,4.0,1
331,2.0,44.0,6675.0,10.0,5.0,5.0,7.0,2
332,2.0,22.0,471.0,1.0,5.0,7.0,3.0,0
333,2.0,31.0,3929.0,10.0,5.0,4.0,6.0,1
334,2.0,49.0,17317.0,10.0,5.0,4.0,7.0,2
335,1.0,28.0,5555.0,10.0,5.0,3.0,7.0,1
336,2.0,59.0,2367.0,4.0,4.0,7.0,5.0,1
337,2.0,66.0,2492.0,4.0,3.0,3.0,5.0,1
338,2.0,48.0,3340.0,9.0,5.0,3.0,6.0,1
339,1.0,48.0,2544.0,4.0,4.0,3.0,5.0,1
340,2.0,59.0,3989.0,4.0,5.0,7.0,5.0,1
341,2.0,34.0,1363.0,8.0,5.0,3.0,4.0,0
342,2.0,56.0,3124.0,7.0,4.0,3.0,5.0,1
343,2.0,63.0,1305.0,4.0,3.0,5.0,3.0,0
344,1.0,54.0,5297.0,3.0,5.0,5.0,7.0,1
345,1.0,45.0,1525.0,4.0,4.0,3.0,4.0,0
346,1.0,65.0,5091.0,4.0,3.0,3.0,6.0,1
347,1.0,51.0,2641.0,0.0,3.0,7.0,5.0,1
348,2.0,62.0,4946.0,7.0,4.0,3.0,6.0,1
349,1.0,66.0,9833.0,9.0,5.0,5.0,7.0,2
350,1.0,64.0,4174.0,4.0,3.0,4.0,6.0,1
351,1.0,76.0,438.0,7.0,4.0,5.0,3.0,0
352,1.0,36.0,2874.0,9.0,5.0,5.0,5.0,1
353,1.0,19.0,4116.0,1.0,5.0,3.0,6.0,1
354,2.0,26.0,4965.0,8.0,5.0,4.0,6.0,1
355,2.0,53.0,3535.0,6.0,4.0,3.0,6.0,1
356,2.0,44.0,3075.0,4.0,4.0,7.0,5.0,1
357,2.0,75.0,1732.0,4.0,3.0,3.0,4.0,0
358,1.0,30.0,3713.0,11.0,5.0,7.0,5.0,1
359,1.0,52.0,7345.0,9.0,5.0,4.0,7.0,2
360,2.0,56.0,1696.0,3.0,3.0,7.0,4.0,0
361,1.0,47.0,9432.0,4.0,4.0,3.0,7.0,2
362,1.0,47.0,4918.0,7.0,5.0,3.0,6.0,1
363,1.0,27.0,2960.0,8.0,5.0,3.0,5.0,1
364,1.0,58.0,7726.0,4.0,4.0,3.0,7.0,2
365,2.0,45.0,2316.0,4.0,4.0,7.0,5.0,1
366,1.0,30.0,3743.0,4.0,5.0,7.0,6.0,1
367,1.0,80.0,3574.0,7.0,3.0,5.0,5.0,1
368,1.0,37.0,8140.0,11.0,5.0,3.0,7.0,2
369,1.0,53.0,4109.0,12.0,5.0,3.0,6.0,1
370,2.0,74.0,4368.0,4.0,3.0,4.0,6.0,1
371,2.0,50.0,2476.0,5.0,5.0,4.0,5.0,1
372,2.0,47.0,4351.0,5.0,5.0,3.0,6.0,1
373,1.0,62.0,4802.0,10.0,5.0,4.0,6.0,1
374,2.0,34.0,1937.0,10.0,5.0,5.0,4.0,0
375,1.0,30.0,2778.0,4.0,5.0,5.0,4.0,1
376,1.0,32.0,6615.0,10.0,5.0,3.0,7.0,2
377,1.0,50.0,6008.0,7.0,5.0,4.0,7.0,2
378,2.0,28.0,3112.0,5.0,5.0,4.0,5.0,1
379,1.0,33.0,5035.0,5.0,5.0,3.0,6.0,1
380,1.0,81.0,8935.0,7.0,3.0,3.0,7.0,2
381,1.0,35.0,3146.0,5.0,5.0,3.0,5.0,1
382,2.0,37.0,7033.0,8.0,5.0,5.0,7.0,2
383,2.0,70.0,4792.0,4.0,4.0,5.0,6.0,1
384,1.0,51.0,5998.0,5.0,4.0,5.0,7.0,2
385,1.0,33.0,9357.0,10.0,5.0,4.0,7.0,2
386,2.0,61.0,13980.0,10.0,5.0,5.0,7.0,2
387,2.0,74.0,2614.0,7.0,4.0,3.0,4.0,1
388,2.0,53.0,5044.0,4.0,4.0,5.0,6.0,1
389,1.0,36.0,3173.0,8.0,5.0,3.0,5.0,1
390,2.0,68.0,1004.0,4.0,4.0,3.0,3.0,0
391,1.0,34.0,2974.0,10.0,5.0,4.0,5.0,1
392,2.0,48.0,2621.0,5.0,5.0,3.0,5.0,1
393,1.0,36.0,6193.0,8.0,5.0,5.0,7.0,2
394,1.0,36.0,1343.0,9.0,5.0,7.0,3.0,0
395,1.0,57.0,5741.0,10.0,5.0,4.0,7.0,1
396,2.0,71.0,3501.0,4.0,3.0,5.0,5.0,1
397,1.0,32.0,3221.0,9.0,5.0,3.0,5.0,1
398,1.0,20.0,995.0,1.0,5.0,7.0,2.0,0
399,1.0,46.0,1673.0,4.0,4.0,4.0,4.0,0
400,2.0,68.0,3145.0,7.0,5.0,4.0,5.0,1
401,1.0,36.0,5196.0,8.0,5.0,7.0,7.0,1
402,2.0,18.0,2118.0,1.0,5.0,7.0,4.0,0
403,2.0,34.0,7154.0,10.0,5.0,7.0,7.0,2
404,1.0,35.0,13687.0,5.0,5.0,4.0,7.0,2
405,2.0,60.0,3486.0,7.0,5.0,5.0,5.0,1
406,1.0,47.0,2975.0,4.0,3.0,7.0,5.0,1
407,1.0,71.0,1934.0,4.0,3.0,4.0,4.0,0
408,2.0,68.0,3639.0,4.0,3.0,3.0,6.0,1
409,2.0,66.0,1512.0,6.0,4.0,3.0,3.0,0
410,2.0,19.0,1291.0,1.0,5.0,7.0,2.0,0
411,1.0,33.0,3023.0,7.0,5.0,3.0,5.0,1
412,2.0,18.0,2008.0,3.0,5.0,4.0,3.0,0
413,1.0,61.0,3067.0,7.0,3.0,5.0,5.0,1
414,2.0,34.0,2090.0,8.0,5.0,4.0,4.0,0
415,1.0,32.0,2408.0,9.0,5.0,3.0,5.0,1
416,1.0,65.0,2089.0,4.0,3.0,5.0,4.0,0
417,1.0,24.0,1211.0,8.0,5.0,3.0,2.0,0
418,1.0,21.0,2064.0,4.0,5.0,3.0,4.0,0
419,2.0,73.0,4636.0,9.0,5.0,4.0,6.0,1
420,1.0,38.0,5769.0,10.0,5.0,4.0,7.0,1
421,2.0,65.0,6158.0,10.0,5.0,4.0,7.0,2
